probe_id,smiles_hidden,source_id,heavy_atoms,num_peaks,has_hnmr,legacy_internal_id,pool_smiles_match,sampling_seed
probe_001,O=C(O)C(O)=Cc1ccc(O)cc1,nmrshiftdb2:2500,13,7,False,canary_001,True,42
probe_002,C=C(C)C1=CC=CC(C)(C)O1,nmrshiftdb2:2300,11,10,False,canary_002,True,42
probe_003,CCCCC1=CC(=O)C(CC(=O)O)O1,nmrshiftdb2:2381,14,10,False,canary_003,True,42
probe_004,O=Cc1ccc(COc2ccccc2O)o1,nmrshiftdb2:2443,16,12,False,canary_004,True,42
probe_005,O=CC1=C(Cc2ccccc2)CN(O)C=C1,nmrshiftdb2:2361,16,11,False,canary_005,True,42
probe_006,O=C(C=C1C=CC(=O)O1)COC(=O)c1ccccc1,nmrshiftdb2:2276,19,12,False,canary_006,True,42
probe_007,CC(C=CC1(O)C(C)=CC(=O)CC1(C)C)=CC(=O)O,nmrshiftdb2:2477,19,15,False,canary_007,True,42
probe_008,O=C(C=CC=Cc1ccc2c(c1)OCO2)N1CCCC1,nmrshiftdb2:2311,20,15,False,canary_008,True,42
probe_009,O=C1C2=C(CCCC2)S(=O)(=O)N1c1c(Cl)cccc1Cl,nmrshiftdb2:2257,20,11,False,canary_009,True,42
probe_010,CN1C(C)(C)C=[N+]([O-])C1(C)C,nmrshiftdb2:2189,11,6,False,canary_010,True,42
probe_011,CC(=O)CN1CC=CCC(C(=O)OC(C)C)S1(=O)=O,nmrshiftdb2:2245,19,12,False,canary_011,True,42
probe_012,C=Cn1cccc1-c1cccn1C=C,nmrshiftdb2:2230,14,6,False,canary_012,True,42
probe_013,CC#CC#CCC=CC=CC(=O)NCC(C)C,nmrshiftdb2:2331,17,14,False,canary_013,True,42
probe_014,O=C(O)CN1CSC(=S)N(Cc2ccco2)C1,nmrshiftdb2:2203,17,10,False,canary_014,True,42
probe_015,Cc1cc2c(C(C)C)c(O)cc(C)c2oc1=O,nmrshiftdb2:2353,17,13,False,canary_015,True,42
probe_016,O=S1(=O)C2=C(CCCC2)C(O)N1c1ccccc1,nmrshiftdb2:2256,18,11,False,canary_016,True,42
probe_017,CCC=CC#CC(=O)c1ccc(C=CC(=O)OC)o1,nmrshiftdb2:2494,19,15,False,canary_017,True,42
probe_018,CC(C)=CCCC(C)=CCc1c(O)cc(CC(C)O)oc1=O,nmrshiftdb2:2290,22,18,False,canary_018,True,42
probe_019,CC1(C)C=Cc2c(cc3c(c2O)C(=O)OC3)O1,nmrshiftdb2:2227,17,13,False,canary_019,True,42
probe_020,O=C1c2ccccc2C(=O)c2c1ccc(O)c2O,nmrshiftdb2:2336,18,14,False,canary_020,True,42
probe_021,CC(=O)c1occ2c1C(=O)c1c(O)cccc1C2=O,nmrshiftdb2:2341,19,14,False,canary_021,True,42
probe_022,COc1cc2oc3cc(O)cc(C)c3c2c(C)c1Cl,nmrshiftdb2:2266,19,15,False,canary_022,True,42
probe_023,C1=Cc2ccc(C3CCc4ccccc43)cc2C1,nmrshiftdb2:2252,18,17,False,canary_023,True,42
probe_024,O=S1(=O)C2=C(CCCC2)C(OO)N1c1c(Cl)cccc1Cl,nmrshiftdb2:2255,21,11,False,canary_024,True,42
probe_025,CC(C)=CCCC(C)=CCC1=C(O)C(=O)C(O)=C(CC=C(C)C)C1=O,nmrshiftdb2:2282,25,21,False,canary_025,True,42
probe_026,CC(C)=CCC1=C(O)C(=O)c2c(O)ccc(O)c2C1=O,nmrshiftdb2:2319,20,15,False,canary_026,True,42
probe_027,COc1cccc(CCc2ccc(OC)c(OC)c2)c1,nmrshiftdb2:2302,20,17,False,canary_027,True,42
probe_028,COC1=CC(=O)OC(C=Cc2ccc(OC)c(OC)c2)C1,nmrshiftdb2:2370,21,15,False,canary_028,True,42
probe_029,CC(=O)OC1=CC(COC(=O)c2ccccc2)OC(=O)C=C1,nmrshiftdb2:2348,22,14,False,canary_029,True,42
probe_030,COC(=O)C1=C(C)NC(Cl)=C(C=O)C1c1ccc(C(=O)O)cc1,nmrshiftdb2:2205,23,14,False,canary_030,True,42
probe_031,O=C1c2cccc(O)c2C(=O)c2c(O)cc(CO)cc21,nmrshiftdb2:2493,20,15,False,canary_031,True,42
probe_032,O=C1C(O)=Cc2cccc3ccc(-c4ccccc4)c1c23,nmrshiftdb2:2240,21,17,False,canary_032,True,42
probe_033,O=C1C(O)=Cc2coc(=O)c3ccc(-c4ccccc4)c1c23,nmrshiftdb2:2238,22,15,False,canary_033,True,42
probe_034,CC(C)=CCc1c(O)ccc2c1OCc1c-2oc2cc(O)ccc12,nmrshiftdb2:2323,24,20,False,canary_034,True,42
probe_035,COc1cc(O)c2c(C=O)c(-c3ccc(OC)c(O)c3OC)oc2c1,nmrshiftdb2:2271,25,18,False,canary_035,True,42
probe_036,Oc1ccc(COCc2ccc(O)c(Cc3ccc(O)cc3)c2)cc1,nmrshiftdb2:2416,25,17,False,canary_036,True,42
probe_037,COc1c(-c2ccc3c(c2)OCO3)oc2c(OC)c(O)cc(O)c2c1=O,nmrshiftdb2:2388,26,18,False,canary_037,True,42
probe_038,COC(=O)CC1c2c(cc(O)c(O)c2O)C(=O)c2cc(O)c(O)c(O)c21,nmrshiftdb2:2495,26,11,False,canary_038,True,42
probe_039,CCc1c(C(=O)OC)c(C=O)c2n(c1=O)CCc1c-2[nH]c2cccc(OC)c12,nmrshiftdb2:2473,28,21,False,canary_039,True,42
probe_040,COc1ccc(-c2coc3cc4c(c(OC)c3c2=O)C=CC(C)(C)O4)c(O)c1,nmrshiftdb2:2265,28,22,False,canary_040,True,42
probe_041,O=c1cc(-c2ccccc2)oc2cc(O)c(CC=Cc3ccccc3)c(O)c12,nmrshiftdb2:2467,28,20,False,canary_041,True,42
probe_042,COC(=O)c1ccc(C2C(C#N)=C(N)NC3=C2C(=O)CC(C)(C)C3)cc1,nmrshiftdb2:2207,26,18,False,canary_042,True,42
probe_043,COc1ccc(C2CC(=O)c3c(O)cc4c(c3O2)C=CC(C)(C)O4)cc1O,nmrshiftdb2:2299,27,21,False,canary_043,True,42
probe_044,COc1cc(O)c(C2COc3cc(O)cc(O)c3C2=O)cc1CC=C(C)C,nmrshiftdb2:2384,27,21,False,canary_044,True,42
probe_045,CC(=O)Oc1c(O)c(C(C)C)c(O)c2c1C1(C)CCCC(C)(C)C1=C(O)C2=O,nmrshiftdb2:2465,28,21,False,canary_045,True,42
probe_046,CC(C)=CCc1cc2c(cc1O)OC(c1ccc3c(c1)C=CC(C)(C)O3)CC2=O,nmrshiftdb2:2263,29,24,False,canary_046,True,42
